Idiom,Sense,Idiomatic_Sent,Literal_Sent
разорвать в клочья,уничтожить что-либо; сокрушительно победить кого-либо,"Медведев пригласил бывшего президента, чтобы посмотреть на «разорванную в клочья российскую экономику»","Медведев пригласил бывшего президента, чтобы посмотреть на ""полностью разрушенную российскую экономику"""
разорвать в клочья,уничтожить что-либо; сокрушительно победить кого-либо,"В начале 2015 года президент США Барак Обама в обращении к Конгрессу заявил, что из-за международных санкций экономика России «разорвана в клочья»","В начале 2015 года президент США Барак Обама в обращении к Конгрессу заявил, что из‑за международных санкций экономика России полностью разрушена"
рано или поздно,"когда-нибудь, неизбежно",Они придут за мной рано или поздно,Они придут за мной когда-нибудь
рано или поздно,"когда-нибудь, неизбежно","Рано или поздно мы все равно умрем, так что лучше осуществить продажу до того, как это случится","Когда-нибудь мы всё равно умрём, так что лучше осуществить продажу до того, как это случится"
рано или поздно,"когда-нибудь, неизбежно","Этот процесс не может протекать вечно, так как интенсивная аккреция материала рано или поздно приводит к превышению предела Чандрасекара","Этот процесс не может протекать вечно, так как интенсивная аккреция материала неизбежно приводит к превышению предела Чандрасекара"
резать по живому,"принимать болезненные меры, задевающие чьи-то интересы","«Если бы мы этого не сделали, мы бы в текущем году вынуждены были бы сокращать расходы федерального бюджета, резать по живому», — резюмировал Силуанов","«Если бы мы этого не сделали, мы бы в текущем году вынуждены были бы сокращать расходы федерального бюджета, урезать самые необходимые статьи», — резюмировал Силуанов"
с глазу на глаз,"наедине, без свидетелй","Ранее представитель Кремля сообщил, что формат беседы двух лидеров еще согласуется, однако возможность беседы с глазу на глаз не исключена","Ранее представитель Кремля сообщил, что формат беседы двух лидеров еще согласуется, однако возможность личной встречи не исключена"
с глазу на глаз,"наедине, без свидетелй",Мне даже не дали шансов с глазу на глаз обосновать свою невиновность,Мне даже не дали шансов конфиденциально обосновать свою невиновность
с глазу на глаз,"наедине, без свидетелй","Действительно, мы не исключаем, что если будет подтверждена предварительная договоренность, предварительное понимание, сначала состоится встреча двух президентов Путина и Трампа с глазу на глаз","Действительно, мы не исключаем, что если будет подтверждена предварительная договорённость, предварительное понимание, сначала состоится личная встреча двух президентов Путина и Трампа"
с глазу на глаз,"наедине, без свидетелй",Бывший президент России Борис Ельцин предлагал американскому коллеге Биллу Клинтону встретиться в уединенном месте и обсудить кризис в Косове с глазу на глаз,Бывший президент России Борис Ельцин предлагал американскому коллеге Биллу Клинтону встретиться в уединённом месте и обсудить кризис в Косове в личной беседе
с головы до ног,"полностью, целиком; по всему телу","Тело моего сына было покрыто синяками, с головы до ног",Тело моего сына было полностью покрыто синяками
с головы до ног,"полностью, целиком; по всему телу","На кадрах видно, как сам автор и его подруга безуспешно пытаются залить себе в рот пиво, молоко, колу и даже жидкость для полоскания рта, обливаясь с головы до ног","На кадрах видно, как сам автор и его подруга безуспешно пытаются залить себе в рот пиво, молоко, колу и даже жидкость для полоскания рта, обливая всё тело"
с головы до ног,"полностью, целиком; по всему телу","Охранник осмотрел меня с головы до ног и сказал, что я слишком толстая, он испортил мне день рождения","Охранник осмотрел меня полностью и сказал, что я слишком толстая, он испортил мне день рождения"
с головы до ног,"полностью, целиком; по всему телу","На фотографиях видно, что девушка в крови и грязи с головы до ног","На фотографиях видно, что девушка полностью в крови и грязи"
с копейками,немногим более указанной величины,Из них где-то 130 тысяч — нарезных и около 800 тысяч с копейками — гладкоствольных,Из них где-то 130 тысяч — нарезных и около 800 тысяч с небольшим — гладкоствольных
с подачи,"по чьей-либо инициативе, рекомендации","С подачи Магуайра картинка стала вирусной, ей поделились 32 тысячи человек","Благодаря Магуайру картинка стала вирусной, ей поделились 32 тысячи человек"
с подачи,"по чьей-либо инициативе, рекомендации","Слава о ее прическе распространилась за пределами России: так, в марте этого года фотографии с прической политика стали вирусными с подачи австралийской журналистки, пораженной ее укладкой","Слава о её прическе распространилась за пределами России: так, в марте этого года фотографии с прической политика стали вирусными благодаря австралийской журналистке, поражённой её укладкой"
с подачи,"по чьей-либо инициативе, рекомендации","Он так и не смог внятно ответить на прямой вопрос относительно того, собирается или нет Симеон покидать УПЦ ради карьеры в религиозной структуре, создаваемой с подачи Константинополя","Он так и не смог внятно ответить на прямой вопрос относительно того, собирается или нет Симеон покидать УПЦ ради карьеры в религиозной структуре, создаваемой по инициативе Константинополя"
сами с усами,не хуже и не глупее других,"Может быть, под знаком того, что не нужно в наши дела соваться, мы сами с усами, такой вопрос и встанет на нервной почве","Может быть, под знаком того, что не нужно в наши дела соваться, мы сами разберемся, такой вопрос и встанет на нервной почве"
свести на нет,"неудачными, неумелыми действиями лишать всякого смысла, значения какое-либо дело",Восстановление объемов мировой торговли может быть сведено на нет новыми торговыми ограничениями,Восстановление объемов мировой торговли может быть полностью нивелировано новыми торговыми ограничениями
свести на нет,"неудачными, неумелыми действиями лишать всякого смысла, значения какое-либо дело","Так он решил свести на нет скандал с провокационной картиной, изображающей президента","Так он решил загладить скандал с провокационной картиной, изображающей президента"
свести на нет,"неудачными, неумелыми действиями лишать всякого смысла, значения какое-либо дело","Восстановление экономики проходит не так гладко, как хотелось бы, говорит и коррекция ВВП в III квартале (вырос на 1,8 процента после 2,5 процента во II квартале), и сильное снижение индекса базовых видов экономической деятельности (рассчитывается аналитиками ВШЭ) во втором полугодии 2017 года, которое свело на нет весь рост первого полугодия","Восстановление экономики проходит не так гладко, как хотелось бы, говорит и коррекция ВВП в III квартале (вырос на 1,8 процента после 2,5 процента во II квартале), и сильное снижение индекса базовых видов экономической деятельности (рассчитывается аналитиками ВШЭ) во втором полугодии 2017 года, которое нивелировало весь рост первого полугодия"
свет не видывал,что-то исключительно редкое и удивительное,"И раскочегарилась за счет своего хода такой рекламой, какой доселе свет не видывал","И раскочегарилась за счет своего хода такой рекламой, какой доселе никто не видел"
своим чередом,"нормально, в обычном темпе, естественным путем","Происходит сбор дополнительных документов, здесь все идет своим чередом","Происходит сбор дополнительных документов, здесь всё происходит в обычном порядке"
своим чередом,"нормально, в обычном темпе, естественным путем","По его мнению, этот процесс будет идти своим чередом","По его мнению, этот процесс будет происходить естественным образом"
своим чередом,"нормально, в обычном темпе, естественным путем","В 2015 году фотограф уже делал аналогичную съемку и публиковал кадры в своем Facebook с пояснением: «Жизнь идет своим чередом, понемногу»","В 2015 году фотограф уже делал аналогичную съемку и публиковал кадры в своем Facebook с пояснением: «Жизнь идет в обычном ритме, понемногу»"
своим чередом,"нормально, в обычном темпе, естественным путем","По его словам, «в виртуальной ""Автономной Республике Крым"" жизнь идет своим чередом»","По его словам, «в виртуальной ""Автономной Республике Крым"" жизнь продолжается как обычно»"
связать по рукам и ногам,"лишать возможности свободно действовать, поступать как-либо","Защиту связали по рукам и ногам, закрыли глаза — не ознакомили с секретным законодательством, в нарушении которого обвиняется мой подзащитный, отклонили все ходатайства","Защиту полностью ограничили, закрыли глаза — не ознакомили с секретным законодательством, в нарушении которого обвиняется мой подзащитный, отклонили все ходатайства"
сдувать пылинки,бережно относиться к кому-то или чему-т,"Мы понимаем высокий профессионализм сотрудников Музея Кино, которые сдували пылинки с архивов, находящихся в их распоряжении","Мы понимаем высокий профессионализм сотрудников Музея Кино, которые трепетно оберегали архивы, находящиеся в их распоряжении"
слова на ветер,"сказанное впустую, необдуманно или безответственно","«И я не бросаю слов на ветер», — написала певица","«И я не говорю попусту», — написала певица"
слова на ветер,"сказанное впустую, необдуманно или безответственно","Песков добавил, что «люди знают, что если глава государства говорит, что ему понятно, куда идти и как идти, то он не бросает слов на ветер»","Песков добавил, что «люди знают, что если глава государства говорит, что ему понятно, куда идти и как идти, то он всегда выполняет обещания»"
сложить голову,погибнуть,Здесь бесславно сложили головы сотрудники лучших спецслужб мира,Здесь бесславно погибли сотрудники лучших спецслужб мира
сложить голову,погибнуть,"Парень, уверовав, что папа сложил голову выполняя ответственное шпионское задание, принимает предложение и попадает в подготовительный центр ЦРУ, именуемый в народе ""Фермой""","Парень, уверовав, что папа погиб, выполняя ответственное шпионское задание, принимает предложение и попадает в подготовительный центр ЦРУ, именуемый в народе «Ферма»"
сложить голову,погибнуть,"Жители Британских островов, славящиеся своей любовью к животным, решили увековечить память наших братьев меньших, принявших участие в вооруженных конфликтах и сложивших головы на поле брани","Жители Британских островов, славящиеся своей любовью к животным, решили увековечить память наших братьев меньших, принявших участие в вооруженных конфликтах и погибших на поле брани"
снять последнюю рубашку,"разориться, остаться ни с чем","Посылки должны были показать канцлеру, что проводимая им налоговая политика заставит немцев в буквальном смысле снять последнюю рубашку","Посылки должны были показать канцлеру, что проводимая им налоговая политика заставит немцев полностью разориться"
сойти с ума,потерять способность мыслить ясно,"Я сейчас первый раз его включила посмотреть, какая реакция, что там происходит… Мне кажется, что люди сошли с ума","Я сейчас первый раз его включила посмотреть, какая реакция, что там происходит… Мне кажется, что люди обезумели"
сойти с ума,потерять способность мыслить ясно,"Люди слегка сошли с ума, когда увидели деньги","Люди слегка потеряли рассудок, когда увидели деньги"
соль земли,"избранные люди, лучшие представители человеческого общества","«А женщина — это основа основ, соль земли», — объяснил выбор подарка атаман Поляков","«А женщина — это основа основ, самые важные люди», — объяснил выбор подарка атаман Поляков"
сослужить плохую службу,принести вред вместо пользы,"Магнитное поле Земли защищает людей на ее поверхности, а также на МКС, но ослабление активности Солнца может сослужить плохую службу тем, кто отправляется за пределы земной орбиты, убеждены американские ученые","Магнитное поле Земли защищает людей на её поверхности, а также на МКС, но ослабление активности Солнца может принести неблагоприятные последствия тем, кто отправляется за пределы земной орбиты, убеждены американские учёные"
сослужить плохую службу,принести вред вместо пользы,"Он отметил, что «введение ненаказуемого превышения скорости до 20 километров в час сослужило плохую службу»","Он отметил, что «введение ненаказуемого превышения скорости до 20 километров в час оказалось вредным»"
сплошь и рядом,"очень часто, почти всегда, повсеместно",Какие-то рассуждения — они сплошь и рядом появляются,Какие‑то рассуждения — они появляются везде
сплошь и рядом,"очень часто, почти всегда, повсеместно","«Мы вели себя наивно раньше, а теперь мы видим, что правила ВТО сплошь и рядом нарушаются, ограничения идут по политическим соображениям, которые называют санкциями","«Мы вели себя наивно раньше, а теперь мы видим, что правила ВТО нарушаются повсеместно, ограничения идут по политическим соображениям, которые называют санкциями»"
сплошь и рядом,"очень часто, почти всегда, повсеместно",В нашей стране это вообще сплошь и рядом,В нашей стране это вообще везде
сплошь и рядом,"очень часто, почти всегда, повсеместно",В Великобритании подобные ситуации происходят сплошь и рядом,В Великобритании подобные ситуации происходят повсеместно
сплошь и рядом,"очень часто, почти всегда, повсеместно","И в Лондоне, и в Пекине такое было сплошь и рядом","И в Лондоне, и в Пекине такое происходило повсеместно"
сровнять с землёй,"уничтожить, разрушить до основания",Взрыв практически сровнял с землей один дом и причинил повреждения еще 24 другим строениям,Взрыв практически полностью разрушил один дом и причинил повреждения ещё 24 другим строениям
сровнять с землёй,"уничтожить, разрушить до основания",Неделей ранее Толстых пообещал сровнять с землей города на Украине в отместку за гибель своего боевого товарища Арсения Павлова (позывной Моторола),Неделей ранее Толстых пообещал уничтожить города на Украине в отместку за гибель своего боевого товарища Арсения Павлова (позывной Моторола)
старо как мир,"о том, что давно известно, не ново","«Что касается самого метода инсценировки убийства — этот метод стар как мир», — сказал парламентарий","«Что касается самого метода инсценировки убийства — этот метод существует очень давно», — сказал парламентарий"
стереть с лица земли,"уничтожить, разрушить до основания","В ноябре 2017 года украинский генерал Александр Кузьмук заявил, что для восстановления территориальной целостности Украины армии придется стереть с лица земли Донецк, Луганск, Горловку и другие крупные города Донбасса","В ноябре 2017 года украинский генерал Александр Кузьмук заявил, что для восстановления территориальной целостности Украины армии придется полностью уничтожить Донецк, Луганск, Горловку и другие крупные города Донбасса"
стереть с лица земли,"уничтожить, разрушить до основания","Как объяснили корейские власти, «отвратительные японские империалисты, безжалостно топтавшие землю Кореи, история и культура которой насчитывают пять тысяч лет, и пытавшиеся стереть с лица земли корейцев, совершили непростительные преступления, отняв у корейского народа даже его время»","Как объяснили корейские власти, «отвратительные японские империалисты, безжалостно топтавшие землю Кореи, история и культура которой насчитывают пять тысяч лет, и пытавшиеся полностью уничтожить корейцев, совершили непростительные преступления, отняв у корейского народа даже его время»"
стоять на пути,"мешать, препятствовать в достижении цели","Мы должны создавать новые рабочие места, привлекать максимальное количество инвесторов и рушить разного рода барьеры, которые стоят на пути прихода инвестиций","Мы должны создавать новые рабочие места, привлекать максимальное количество инвесторов и рушить разного рода барьеры, которые препятствуют приходу инвестиций"
стоять на пути,"мешать, препятствовать в достижении цели","Разумеется, правительство Грузии твердо стоит на пути мирного урегулирования конфликтов","Разумеется, правительство Грузии придерживается курса мирного урегулирования конфликтов"
стоять на пути,"мешать, препятствовать в достижении цели","Кроме того, нужно запомнить, где находится ближайший аварийный выход, и посчитать количество препятствий, которые стоят на пути к нему, на случай, если самолет будет задымлен","Кроме того, нужно запомнить, где находится ближайший аварийный выход, и посчитать количество препятствий, которые находятся на пути к нему, на случай, если самолет будет задымлен"
сухой остаток,"краткий вывод, суждение о чём-либо, полученный путём отбрасывания малозначимых деталей","В сухом остатке мы должны сэкономить на территориальных органах власти, - заявил один из кремлевских авторов реформы вертикали власти","В конечном итоге мы должны сэкономить на территориальных органах власти, — заявил один из кремлевских авторов реформы вертикали власти"
сходить с рук,оставаться безнаказанным,"Его наглые упреки в адрес всех нас — доказательство того, что ему все сходит с рук","Его наглые упреки в адрес всех нас — доказательство того, что ему всё безнаказанно"
теряться в догадках,тщетно стараться найти объяснение чему-либо,"Ему не понравится что я это пишу, он вообще всегда ненавидел мои длинные посты, но все же не хочу, чтобы люди терялись в догадках и тем более что-то додумывали от себя","Ему не понравится, что я это пишу, он вообще всегда ненавидел мои длинные посты, но всё же не хочу, чтобы люди не понимали, что происходит, и тем более что‑то додумывали от себя"
теряться в догадках,тщетно стараться найти объяснение чему-либо,Другие юзеры терялись в догадках и выражали удивление из-за появления актера в парламенте,Другие юзеры были в замешательстве и выражали удивление из‑за появления актера в парламенте
теряться в догадках,тщетно стараться найти объяснение чему-либо,"Местные жители теряются в догадках, почему поселение в восьми километрах к северу от Оксфорда стало популярным у иностранцев, пишет Daily Mail","Местные жители не могут понять, почему поселение в восьми километрах к северу от Оксфорда стало популярным у иностранцев, пишет Daily Mail"
теряться в догадках,тщетно стараться найти объяснение чему-либо,"Вскоре эта запись была удалена, но неологизм успел запомниться интернет-пользователям, терявшимся в догадках, что же он означает","Вскоре эта запись была удалена, но неологизм успел запомниться интернет‑пользователям, пытавшимся угадать, что же он означает"
теряться в догадках,тщетно стараться найти объяснение чему-либо,"Глава регионального союза виноделов сообщил тогда, что теряется в догадках относительно причин случившегося","Глава регионального союза виноделов сообщил тогда, что не имеет ясного представления относительно причин случившегося"
ударить по рукам,"договориться, заключить сделку","Прежде чем ударить по рукам, Робертс справился с базой данных ARL и понял, что картина была похищена","Прежде чем заключить сделку, Робертс справился с базой данных ARL и понял, что картина была похищена"
уйти в небытие,быть навсегда забытым или прекратить существование,"Бесконечные рукопашные поединки, коими так отличилась ""Перезагрузка"", ушли в небытие","Бесконечные рукопашные поединки, коими так отличилась «Перезагрузка», исчезли"
уйти в небытие,быть навсегда забытым или прекратить существование,"Мы будем делать все, чтобы власть как можно скорее ушла в небытие","Мы будем делать всё, чтобы власть как можно скорее прекратила своё существование"
уйти в небытие,быть навсегда забытым или прекратить существование,"За Дудаевым стояли слишком большие деньги, чтобы он так просто мог уйти в небытие","За Дудаевым стояли слишком большие деньги, чтобы он так просто мог утратить влияние"
ума не приложу,"не знать, что делать, и не понимать, что происходит","Ума не приложу, что могло заставить умных мужчин совершить такой поступок","Я не могу понять, что могло заставить умных мужчин совершить такой поступок"
ума не приложу,"не знать, что делать, и не понимать, что происходит","Ума не приложу, что Робби Уильямс вкладывал в этот свой жест","Понять не могу, что Робби Уильямс вкладывал в этот свой жест"
ума не приложу,"не знать, что делать, и не понимать, что происходит","Отвечая на вопрос, как он умудрился все это время ездить по городу с трупом животного, Писковец сказал: «Ума не приложу»","Отвечая на вопрос, как он умудрился всё это время ездить по городу с трупом животного, Писковец сказал: «Сам не знаю»"
умыть руки,"устраниться от участия в каком-либо деле, прекратить участие в чём-либо, снять с себя ответственность за что-либо",Иностранная компания получила несколько сотен миллионов рублей и умыла руки,Иностранная компания получила несколько сотен миллионов рублей и сняла с себя ответственность
умыть руки,"устраниться от участия в каком-либо деле, прекратить участие в чём-либо, снять с себя ответственность за что-либо","Мы такую норму создать не имеем права, — умыл руки судья","Мы такую норму создать не имеем права, — отстранился судья"
умыть руки,"устраниться от участия в каком-либо деле, прекратить участие в чём-либо, снять с себя ответственность за что-либо","Наутро все это рухнуло, они ""умыли руки"", сказав, что ""так получилось""","Наутро всё это рухнуло, они отказались от ответственности, сказав, что так получилось"
умыть руки,"устраниться от участия в каком-либо деле, прекратить участие в чём-либо, снять с себя ответственность за что-либо","В этой связи заместитель министра обороны Израиля Матан Виланаи заявил в эфире армейского радио, что Израиль хочет умыть руки","В этой связи заместитель министра обороны Израиля Матан Виланаи заявил в эфире армейского радио, что Израиль хочет устраниться от участия"
ходить ходуном,находиться в непрерывном движении,"Жители Катав-Ивановска рассказали о толчках, которые они ощутили, и о «ходивших ходуном» зданиях","Жители Катав-Ивановска рассказали о толчках, которые они ощутили, и о раскачивающихся зданиях"
ходить ходуном,находиться в непрерывном движении,"На кадрах видно, как заклинило механизм заряжания, как искрит проводка, не работают датчики и ходит ходуном пушка","На кадрах видно, как заклинило механизм заряжания, как искрит проводка, не работают датчики и раскаичвается пушка"
худо-бедно,"самое малое, по крайней мере","Худо-бедно, но общаюсь с коллегами, могу что-то ответить иностранным журналистам","Кое-как, но я общаюсь с коллегами, могу что‑то ответить иностранным журналистам"
худо-бедно,"самое малое, по крайней мере","Книга также стала своеобразным прощанием с независимой политической журналистикой в России, которая ""худо-бедно существовала во время ельцинских реформ и была уничтожена Путиным"", пояснила Трегубова","Книга также стала своеобразным прощанием с независимой политической журналистикой в России, которая «кое-как существовала во время ельцинских реформ и была уничтожена Путиным», пояснила Трегубова"
худо-бедно,"самое малое, по крайней мере","Если данная программа «худо-бедно шла в Академии, то в ФАНО застопорилась окончательно»","Если данная программа с трудом шла в Академии, то в ФАНО застопорилась окончательно"
худо-бедно,"самое малое, по крайней мере","Дома я худо-бедно сам себе хозяин, а там придется жить по общему распорядку","Дома я относительно сам себе хозяин, а там придется жить по общему распорядку"
целиком и полностью,"абсолютно, безоговорочно, без исключения","Очевидно, что это, скажем так, преднамеренное создание трудностей, которое целиком и полностью лежит на совести наших американских коллег","Очевидно, что это, скажем так, преднамеренное создание трудностей, которое безоговорочно лежит на совести наших американских коллег"
целиком и полностью,"абсолютно, безоговорочно, без исключения",Это целиком и полностью прерогатива редакционной политики СМИ,Это исключительно прерогатива редакционной политики СМИ
целиком и полностью,"абсолютно, безоговорочно, без исключения","«Мы целиком и полностью поддерживаем эту позицию», — сказал вице-спикер Госдумы от ЛДПР Игорь Лебедев, ознакомившись с заявлением ЦК КПРФ","«Мы абсолютно поддерживаем эту позицию», — сказал вице‑спикер Госдумы от ЛДПР Игорь Лебедев, ознакомившись с заявлением ЦК КПРФ"
целиком и полностью,"абсолютно, безоговорочно, без исключения","Ответственность за инцидент с российским Ил-20, сбитым сирийскими средствами ПВО после атаки израильских истребителей F-16, как считает Либерман, целиком и полностью лежит на армии президента Сирии Башара Асада","Ответственность за инцидент с российским Ил-20, сбитым сирийскими средствами ПВО после атаки израильских истребителей F-16, как считает Либерман, полностью лежит на армии президента Сирии Башара Асада"
целиком и полностью,"абсолютно, безоговорочно, без исключения","Петр Алексеевич, выполните свое обещание, остановите войну! Это целиком и полностью в ваших возможностях","Петр Алексеевич, выполните свое обещание, остановите войну! Это в полной мере в ваших возможностях"
цену набивать,преувеличивать значимость или стоимость,"Может, Самуэльссон так себе цену набивает — посмотрите, вот я такой","Может, Самуэльссон так себя расхваливает — посмотрите, вот я такой"
чувство локтя,"чувство коллективизма, общего участия в какой-нибудь работе","Там вырабатывается и чувство локтя, в хорошем смысле слова коллективизма, поддержки друг друга — чрезвычайно важные навыки для жизни","Там вырабатывается и чувство взаимовыручки, в хорошем смысле слова коллективизма, поддержки друг друга — чрезвычайно важные навыки для жизни"
